exploration_constant,mcts_iterations,accuracy
0.0,10,99.6
0.5,10,99.5
1.0,10,97.7
1.5,10,97.6
2.0,10,96.6
3.0,10,98.2
0.0,25,99.2
0.5,25,99.6
1.0,25,99.4
1.5,25,99.1
2.0,25,99.1
3.0,25,99.0
0.0,50,99.6
0.5,50,99.5
1.0,50,99.5
1.5,50,99.4
2.0,50,99.6
3.0,50,98.6
0.0,100,100.0
0.5,100,99.6
1.0,100,99.9
1.5,100,99.8
2.0,100,99.6
3.0,100,99.5
0.0,200,99.9
0.5,200,99.7
1.0,200,99.8
1.5,200,99.9
2.0,200,99.8
3.0,200,99.7
0.0,400,99.9
0.5,400,99.9
1.0,400,99.8
1.5,400,100.0
2.0,400,99.9
3.0,400,99.9
